record_id,full_name,age,state,department,annual_income,service_requests,registration_date,email,phone,anomaly_flag,anomaly_score
JS00014,Ananya Sharma,73.0,Andhra Pradesh,Education,970973.38,25,2026-03-09,ananya.sharma14@example.org,9740389325.0,True,-0.0055
JS00024,Meera Patel,18.0,Andhra Pradesh,Health,405097.33,1,2025-12-05,meera.patel24@example.org,9176082500.0,True,-0.0054
JS00093,Rahul Singh,18.0,Maharashtra,Education,469522.08,1,2026-07-21,rahul.singh93@example.org,9413679331.0,True,-0.0053
JS00385,Ananya Singh,23.0,Maharashtra,Education,1463525.01,4,2026-07-04,ananya.singh385@example.org,9450845460.0,True,-0.0051
JS00771,Vikram Kumar,23.0,Telangana,Social Welfare,1301416.92,25,2026-03-12,vikram.kumar771@example.org,9769207967.0,True,-0.0051
JS00995,Kavya Kumar,74.0,Karnataka,Social Welfare,1442920.78,21,2026-01-04,kavya.kumar995@example.org,9954669136.0,True,-0.0047
JS00205,Meera Das,29.0,Andhra Pradesh,Transport,1464009.38,2,2026-06-23,meera.das205@example.org,9684203557.0,True,-0.0044
JS00595,Aarav Patel,72.0,Maharashtra,Rural Development,356540.02,25,2026-06-07,aarav.patel595@example.org,9653850668.0,True,-0.0044
JS00620,Rohan Nair,69.0,Karnataka,Rural Development,108166.17,3,2025-12-26,rohan.nair620@example.org,9829699746.0,True,-0.0043
JS00432,Rahul Reddy,70.0,Karnataka,Social Welfare,96181.78,6,2025-09-13,rahul.reddy432@example.org,9844292151.0,True,-0.0032
JS00810,Rohan Kumar,65.0,Maharashtra,Education,1393238.45,1,2025-05-25,rohan.kumar810@example.org,9624946696.0,True,-0.0032
JS00544,Ananya Kumar,19.0,Tamil Nadu,Rural Development,133798.57,2,2025-02-25,ananya.kumar544@example.org,9291117627.0,True,-0.0031
JS00421,Priya Gupta,72.0,Tamil Nadu,Rural Development,1407992.57,5,2025-06-30,priya.gupta421@example.org,9353994846.0,True,-0.0022
